movie id,movie title,release date,unknown,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Year
1,Toy Story ,1-Jan-95,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
2,GoldenEye ,1-Jan-95,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995
3,Four Rooms ,1-Jan-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1995
4,Get Shorty ,1-Jan-95,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
5,Copycat ,1-Jan-95,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1995
6,Shanghai Triad (Yao a yao yao dao waipo qiao) ,1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
7,Twelve Monkeys ,1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1995
8,Babe ,1-Jan-95,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
9,Dead Man Walking ,1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
10,Richard III ,22-Jan-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1996
11,Seven (Se7en) ,1-Jan-95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995
12,"Usual Suspects, The ",14-Aug-95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995
13,Mighty Aphrodite ,30-Oct-95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
14,"Postino, Il ",1-Jan-94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1994
15,Mr. Holland's Opus ,29-Jan-96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996
16,French Twist (Gazon maudit) ,1-Jan-95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995
17,From Dusk Till Dawn ,5-Feb-96,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1996
18,"White Balloon, The ",1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
19,Antonia's Line ,1-Jan-95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995
